Symptom,weight
itching,1
skin_rash,3
nodal_skin_eruptions,4
continuous_sneezing,1
shivering,2
chills,2
joint_pain,3
stomach_pain,3
acidity,1
ulcers_on_tongue,4
muscle_wasting,3
vomiting,3
burning_micturition,3
spotting_urination,4
fatigue,2
weight_gain,2
anxiety,2
cold_hands_and_feets,2
mood_swings,2
weight_loss,3
restlessness,2
lethargy,2
patches_in_throat,4
irregular_sugar_level,3
cough,1
high_fever,4
sunken_eyes,3
breathlessness,4
sweating,2
dehydration,3
indigestion,2
headache,2
yellowish_skin,4
dark_urine,3
nausea,2
loss_of_appetite,2
pain_behind_the_eyes,3
back_pain,3
constipation,2
abdominal_pain,3
diarrhoea,3
mild_fever,1
yellow_urine,2
yellowing_of_eyes,4
acute_liver_failure,7
fluid_overload,4
swelling_of_stomach,4
swelled_lymph_nodes,4
malaise,3
blurred_and_distorted_vision,4
phlegm,2
throat_irritation,2
redness_of_eyes,3
sinus_pressure,3
runny_nose,1
congestion,2
chest_pain,6
weakness_in_limbs,4
fast_heart_rate,5
pain_during_bowel_movements,3
pain_in_anal_region,4
bloody_stool,5
irritation_in_anus,3
neck_pain,3
dizziness,3
cramps,2
bruising,3
obesity,2
swollen_legs,4
swollen_blood_vessels,4
puffy_face_and_eyes,3
enlarged_thyroid,4
brittle_nails,2
swollen_extremeties,4
excessive_hunger,2
extra_marital_contacts,3
drying_and_tingling_lips,2
slurred_speech,5
knee_pain,3
hip_joint_pain,3
muscle_weakness,4
stiff_neck,5
swelling_joints,4
movement_stiffness,4
spinning_movements,3
loss_of_balance,4
unsteadiness,3
weakness_of_one_body_side,5
loss_of_smell,2
bladder_discomfort,3
foul_smell_of_urine,3
continuous_feel_of_urine,3
passage_of_gases,2
internal_itching,3
toxic_look_(typhos),5
depression,3
irritability,2
muscle_pain,3
altered_sensorium,6
red_spots_over_body,3
belly_pain,3
abnormal_menstruation,3
dischromic_patches,3
watering_from_eyes,2
increased_appetite,2
polyuria,2
family_history,1
mucoid_sputum,3
rusty_sputum,4
lack_of_concentration,2
visual_disturbances,3
receiving_blood_transfusion,4
receiving_unsterile_injections,4
coma,7
stomach_bleeding,6
distention_of_abdomen,4
history_of_alcohol_consumption,3
blood_in_sputum,5
prominent_veins_on_calf,4
palpitations,4
painful_walking,3
pus_filled_pimples,3
blackheads,1
scurring,2
skin_peeling,3
silver_like_dusting,3
small_dents_in_nails,2
inflammatory_nails,2
blister,3
red_sore_around_nose,3
yellow_crust_ooze,3
